topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Enviorment,"Consider the following statements:
Once the Central Government notifies an area as a 'Community Reserve'
1. the Chief Wildlife Warden of the State becomes the governing authority of such
forest
2. hunting is not allowed in such area
3. people of such area are allowed to collect non-timber forest produce
4. people of such area are allowed traditional agricultural practices
How many of the above statements are correct?",Only one,Only two,Only three,All four,c,hard
Enviorment,"Consider the following statements:
Statement-1: Marsupials are not naturally found in India.
Statement-II: Marsupials can thrive only in montane grasslands with no predators.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I",Statement-1 is correct Statement-II is incorrect,Statement-1 is incorrect but Statement-II is correct,c,medium
Enviorment,"Invasive Species Specialist Group’ (that develops Global Invasive Species Database)
belongs to which one of the following organizations?",The International Union for Conservation of Nature,The United Nations Environment Programme,The United Nations World Commission for Environment and Development,The World Wide Fund for Nature,a,easy
Enviorment,"Consider the following fauna:
1. Lion-tailed Macaque
2. Malabar Civet
3. Sambar Deer
How many of the above are generally nocturnal or most active after sunset?",Only one,Only two,All three,None,b,hard
Enviorment,"Which of the following organisms perform waggle dance for others of their kin to
indicate the direction and the distance to a source of their food?",Butterflies,Dragonflies,Honeybees,Wasps,c,easy
Enviorment,"Consider the following statements:
1. Some mushrooms have medicinal properties.
2. Some mushrooms have psycho-active properties.
3. Some mushrooms have insecticidal properties.
4. Some mushrooms have bioluminescent properties.
How many of the above statements are correct?",Only one,Only two,Only three,All four,d,hard
Enviorment,"Consider the following statements regarding the Indian squirrels:
1. They build nests by making burrows in the ground.
2. They store their food materials like nuts and seeds in the ground.
3. They are omnivorous.
How many of the above statements are correct?",Only one,Only two,All three,None,c,hard
Enviorment,"Consider the following statements:
1. Some microorganisms can grow in environments with temperature above the
boiling point of water.
2. Some microorganisms can grow in environments with temperature below the
freezing point of water.
3. Some microorganisms can grow in highly acidic environment with a pH below 3.
How many of the above statements are correct?",Only one,Only two,All three,None,c,hard
Enviorment,"Which one of the following makes a tool with a stick to scrape insects from a hole in a
tree or a log of wood?",Fishing cat,Orangutan,Otter,Sloth bear,b,easy
Enviorment,"Which one of the following is the best example of repeated falls in sea level, giving
rise to present-day extensive marshland?",Bhitarkanika Mangroves,Marakkanam Salt Pans,Naupada Swamp,Rann of Kutch,d,easy
Enviorment,"Consider the following statements:
Statement-I: Carbon markets are likely to be one of the most widespread tools in the fight
against climate change.
Statement-II: Carbon markets transfer resources from the private sector to the State.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I",Statement-I is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,b,hard
