topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Medival History,"Consider the following dynasties:
1. Hoysala
2. Gahadavala
3. Kakatiya
4. Yadava
How many of the above dynasties established their kingdoms in early eighth century AD?",Only one,Only two,Only three,None,d,hard
Medival History,"Who among the following rulers of Vijayanagara Empire constructed a large dam
across Tungabhadra River and canalcum- aqueduct several a kilometres long from the
river to the capital city?",Devaraya I,Mallikarjuna,Vira Vijaya,Virupaksha,a,easy
Medival History,"Consider the following pairs:
King Dynasty
1. Nannuka — Chandela
2. Jayashakti — Paramara
3. Nagabhata II — Gurjara-Pratihara
4. Bhoja — Rashtrakuta
How many pairs given above are correctly matched?",Only one pair,Only two pairs,Only three pairs,All four pairs,b,hard
Medival History,"“Yogavasistha” was translated into Persian by Nizamuddin Panipati during the reign
of:",Akbar,Humayun,Shahjahan,Aurangzeb,a,easy
Medival History,"The world's second tallest statue in sitting pose of Ramanuja was inaugurated by the
Prime Minister of India at Hyderabad recently. Which one of the following statements
correctly represents the teachings of Ramanuja?",The best means of salvation was devotion.,"Vedas are eternal, self-existent and wholly authoritative.",Logical arguments were essential means for the highest bliss,Salvation was to be obtained through meditation.,a,medium
Medival History,"In medieval India, the term """"Fanam"""" referred to:",Clothing,Coins,Ornaments,Weapons,b,easy
Medival History,"With reference to Indian history, consider the following statements:
1. The first Mongol invasion of India happened during the reign of Jalal-ud-din Khalji.
2. During the reign of Ala-ud-din Khalji, one Mongol assault marched up to Delhi and
besieged the city.
3. Muhammad-bin-Tughlaq temporarily lost portions of north-west of his kingdom to
Mongols.
Which of the statements given above is/are correct?",1 and 2,2 only,1 and 3,3 only,b,hard
Medival History,"With reference to Indian history, who of the following were known as """"Kulah-Daran""""?",Arab merchants,Qalandars,Persian calligraphists,Sayyids,d,easy
Medival History,"With reference to medieval India, which one of the following is the correct sequence in
ascending order in terms of size?",Paragana – Sarkar – Suba,Sarkar – Paragana – Suba,Suba – Sarkar – Paragana,Paragana – Suba – Sarkar,a,easy
Medival History,"According to Portuguese writer Nuniz, the women in the Vijayanagara Empire were
experts in which of the following areas?
1. Wrestling
2. Astrology
3. Accounting
4. Soothsaying
Select the correct answer using the code given below:","1, 2 and 3 only","1, 3 and 4 only",2 and 4 only,"1, 2, 3 and 4",d,hard
Medival History,"Consider the following statements:
1. It was during the reign of Iltutmish that Chengiz Khan reached the Indus in pursuit
of the fugitive Khwarezm prince.
2. It was during the reign of Muhammad bin Tughluq that Taimur occupied Multan and
crossed the Indus.
3. It was during the reign of Deva Raya II of Vijayanagara Empire that Vasco da
Gama reached the coast of Kerala.
Which of the statements given above is/are correct?",1 only,1 and 2,3 only,2 and 3,a,hard
