topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Modern History,"Who among the following rulers of medieval Gujarat surrendered Diu to
Portuguese?",Ahmad Shah,Mahmud Begarha,Bahadur Shah,Muhammad Shah,c,easy
Modern History,"With reference to the Indian History, Alexander Rea, A. H. Longhurst, Robert
Sewell, James Burgess and Walter Elliot were associated with",archaeological excavations,establishment of English Press in Colonial India,establishment of Churches in Princely States,construction of railways in Colonial India,a,easy
Modern History,"By which one of the following Acts was the Governor General of Bengal
designated as the Governor General of India?",The Regulating Act,The Pitt's India Act,The Charter Act of 1793,The Charter Act of 1833,d,easy
Modern History,"Consider the following statements :
Statement-I : 7th August is declared as the National Handloom Day.
Statement-II : It was in 1905 that the Swadeshi Movement was launched on the same
day.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I.","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I.",Statement-I is correct but Statement-II is incorrect.,Statement-I is incorrect but Statement-II is correct.,a,medium
Modern History,"In the Government of India Act 1919, the functions of Provincial Government were
divided into ""Reserved"" and ""Transferred"" subjects. Which of the following were
treated as ""Reserved"" subjects?
1. Administration of Justice
2. Local Self-Government
3. Land Revenue
4. Police
Select the correct answer using the code given below:","1, 2 and 3","2, 3 and 4","1, 3 and 4","1, 2 and 4
C orrect answer: c
Q2. Consider the following freedom fighters:
1. Barindra Kumar Ghosh
2. Jogesh Chandra Chatterjee
3. Rash Behari Bose
Who of the above was/were actively associated with the Ghadar Party?",d,hard
Modern History,"With reference to the proposals of Cripps Mission, consider the following
statements:
1. The Constituent Assembly would have members nominated by the Provincial
Assemblies as well as the Princely States.
2. Any Province, which is not prepared to accept the new Constitution would have the
right to sign a separate agreement with Britain regarding its future status.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,hard
Modern History,"With reference to Indian history, consider the following statements:
1. The Dutch established their factories/warehouses on the east coast on lands
granted to them by Gajapati rulers.
2. Alfonso de Albuquerque captured Goa from the Bijapur Sultanate.
3. The English East India Company established a factory at Madras on a plot of land
leased from a representative of the Vijayanagara empire.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b,hard
Modern History,"Consider the following statements:
1. The Montagu-Chelmsford Reforms of 1919 recommended granting voting
rights to all the women above the age of 21.
2. The Government of India Act of 1935 gave women reserved seats in the
legislature.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,hard
Modern History,"With reference to 8th August, 1942 in Indian history, which one of the following
statements is correct?",The Quit India Resolution was adopted by the AICC.,The Viceroy’s Executive Council was expanded to include more Indians.,The Congress ministries resigned in seven provinces.,"Cripps proposed an Indian Union with full Dominion Status once the Second World
War was over.",a,easy
Modern History,"Who among the following is associated with ‘Songs from Prison’, a translation of
ancient Indian religious lyrics in English?",Bal Gangadhar Tilak,Jawaharlal Nehru,Mohandas Karamchand Gandhi,Sarojini Naidu,c,easy
Modern History,"Who among the following was associated as Secretary with Hindu Female School
which later came to be known as Bethune Female School?",Annie Besant,Debendranath Tagore,Ishwar Chandra Vidyasagar,Sarojini Naidu,c,easy
Modern History,"In the context of Colonial India, Shah Nawaz Khan, Prem Kumar Sehgal and
Gurbaksh Singh Dhillon are remembered as",leaders of Swadeshi and Boycott Movement,members of the Interim Government in 1946,members of the Drafting Committee in the Constituent Assembly,o�cers of the Indian National Army,d,easy
Modern History,"With reference to Indian history, which of the following statements is/are correct?
1. The Nizamat of Arcot emerged out of Hyderabad State.
2. The Mysore Kingdom emerged out of Vijayanagara Empire.
3. Rohilkhand Kingdom was formed out of the territories occupied by Ahmad
Shah Durrani.
Select the correct answer using the code given below:",1 and 2,2 only,2 and 3,3 only,b,hard
Modern History,"In the first quarter of seventeenth century, in which of the following was/were the
factory/factories of the English East India Company located?
1. Broach
2. Chicacole
3. Trichinopoly
Select the correct answer using the code given below:",1 only,1 and 2,3 only,2 and 3,a,hard
Modern History,"With reference to Madanapalle of Andhra Pradesh, which one of the following
statements is correct?",Pingali Venkayya designed the tricolour Indian National Flag here.,Pattabhi Sitaramaiah led the Quit India Movement of Andhra region from here.,"Rabindranath Tagore translated the National Anthem from Bengali to English
here.","Madame Blavatsky and Colonel Olcott set up headquarters of Theosophical
Society first here.",c,easy
Modern History,"Consider the following statements:
1. St. Francis Xavier was one of the founding members of the Jesuit Order.
2. St. Francis Xavier died in Goa and a church is dedicated to him there.
3. The Feast of St. Francis Xavier is celebrated in Goa each year.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c,hard
Modern History,"In the context of Indian history, the Rakhmabai case of 1884 revolved around
1. women’s right to gain education
2. age of consent
3. restitution of conjugal rights
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b,hard
Modern History,"Indigo cultivation in India declined by the beginning of the 20th century because
of",peasant resistance to the oppressive conduct of planters,its unprofitability in the world market because of new inventions,national leaders’ opposition to the cultivation if indigo,Government control over the planters,b,easy
Modern History,Wellesley established the Fort William College Calcutta because,he was asked by the Board of Directors at London to do so,he wanted to revive interest in oriental learning in India,he wanted to provide William Carey and his associates with employment,"he wanted to train British civilians for administrative purpose in India
Correct answers: d
Q4. With reference to the history of India, “Ulgulan” or the Great Trumult is the
description of which of the following events?",d,easy
